Country,Balance,Product,Value,Unit,Year
Netherlands,Net Electricity Production,Combustible Renewables,930.2756,GWh,2024
Netherlands,Net Electricity Production,Other Combustible Non-Renewables,126.3318,GWh,2024
Netherlands,Net Electricity Production,Solar,542.6723,GWh,2024
Netherlands,Net Electricity Production,Not Specified,46.4375,GWh,2024
Netherlands,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',4340.3324,GWh,2024
Netherlands,Total Imports,Electricity,1576.811,GWh,2024
Netherlands,Total Exports,Electricity,2702.8269,GWh,2024
Netherlands,Distribution Losses,Electricity,453.1695,GWh,2024
Netherlands,Final Consumption (Calculated),Electricity,9646.8269,GWh,2024
Netherlands,Net Electricity Production,Wind,2864.0914,GWh,2024
New Zealand,Net Electricity Production,Electricity,3454.1304,GWh,2024
New Zealand,Net Electricity Production,Total Combustible Fuels,189.0803,GWh,2024
New Zealand,Net Electricity Production,Hydro,2140.077,GWh,2024
New Zealand,Net Electricity Production,Coal-Peat and Manufactured Gases,27.35,GWh,2024
